numero_processo,nome_juiz,sentimento_medio,sentimento_mediano,qtd_movimentos,genero_juiz
00460389020178060112,Israel Barbosa da Silva,2.3010752688172045,1.0,93,Masculino
00469870320158060010,Thiago Martins de Mesquita,2.3617021276595747,1.0,47,Indeterminado
00472574120168060091,José Valdeclécio Ferreira Cruz,1.8387096774193548,1.0,93,Masculino
00491220220168060091,Marta Suelina Lopes de Lima,2.311111111111111,1.0,90,Feminino
00500276820218060111,José Airton Almeida Tabosa,1.6206896551724137,1.0,29,Masculino
00500328820218060144,,2.8,4.0,5,Indeterminado
00500407520218060076,Marcos Aurélio Brito de Mont Alverne,1.6818181818181819,1.0,22,Masculino
00500515720218060124,,2.2413793103448274,1.0,29,Indeterminado
00500538820218060136,Corre,2.0,1.0,6,Indeterminado
00500625920218060133,Francisco Erivando Santos de Sousa,2.373134328358209,1.0,67,Masculino
00500752720218060111,Ana Celina Monte Studart Gurgel Carneiro,1.8387096774193548,1.0,31,Feminino
00500809020208060044,Antônio Esaú Bandeira,1.9523809523809523,1.0,21,Indeterminado
00500810220218060057,Augusto Cesar Magalhães Pinto,2.392156862745098,1.0,51,Masculino
00500940720208060131,José Fábio Nascimento de Lima,2.066666666666667,1.0,30,Masculino
00501009320218060158,,1.75,1.0,8,Indeterminado
00501094020218060163,,2.8,4.0,30,Indeterminado
00501099120218060146,Andrea Carla Peixoto do Rego Barros Aguiar,2.142857142857143,1.0,21,Feminino
00501200720208060098,José Arnaldo dos Santos Soares,2.176470588235294,1.0,34,Masculino
00501250320218060160,,2.125,1.0,8,Indeterminado
00501269620208060103,João Edson da Silva Castro,2.0714285714285716,1.0,42,Masculino
00501338920218060156,Lucas D ' avila Alves Brandão,2.409090909090909,2.0,22,Masculino
00501347820218060090,José Cardoso dos Santos,2.033333333333333,1.0,30,Masculino
00501368220218060111,José Airton Almeida Tabosa,1.5873015873015872,1.0,63,Masculino
00501426920218060053,Francisco Cláudio Torres Furtado Filho,2.0238095238095237,1.0,42,Masculino
00501442720218060057,John Lennon Rodrigues de Freitas,2.3333333333333335,1.0,36,Masculino
00501489120218060145,Sergio Augusto Furtado Neto Viana,1.4090909090909092,1.0,22,Masculino
00501512020208060068,David Ribeiro de Souza Belém,2.08,1.0,25,Masculino
00501607920218060089,Ricardo Botelho Romcy Filho,2.3448275862068964,1.0,29,Masculino
00501651120208060098,José Arnaldo dos Santos Soares,2.0,1.0,12,Masculino
00501695920218060180,##Jo,2.1904761904761907,1.0,21,Indeterminado
00501762520208060103,,1.6923076923076923,1.0,13,Indeterminado
00501780520218060056,Patrícia Fernanda Toledo Rodrigues,1.6818181818181819,1.0,22,Feminino
00501790320218060084,Antônio Carlos Alves de Freitas,1.8928571428571428,1.0,56,Indeterminado
00501803420218060101,Antônio Fernandes de Sousa,1.8095238095238095,1.0,21,Indeterminado
00501812020218060036,Sandra Luca Carlos Santos R,2.0,1.0,12,Feminino
00501884620208060036,Francisco Yago Oliveira do Nascimento,2.0,1.0,64,Masculino
00501888220218060045,,1.8181818181818181,1.0,11,Indeterminado
00501933720208060111,Frederico Augusto Costa,1.7857142857142858,1.0,14,Masculino
00501945020208060134,,2.7142857142857144,4.0,7,Indeterminado
00502024820208060127,João Raimundo Vieira Chaves,1.9433962264150944,1.0,53,Masculino
00502129020218060084,,2.0714285714285716,1.0,14,Indeterminado
00502165720208060054,Maria Vanessa de Sousa Araujo,1.536231884057971,1.0,69,Feminino
00502199620208060123,,2.5,2.5,12,Indeterminado
00502220720208060170,Francisco Carlos Magno Oliveira Coelho,1.7941176470588236,1.0,68,Masculino
00502236020218060136,,2.6666666666666665,2.5,6,Indeterminado
00502247520218060126,Maria Thereza de Assis Moura,2.12,1.0,25,Feminino
00502253620208060113,Francisco Gilson Fernandes Da Silva,1.8125,1.0,32,Masculino
00502265520208060037,,2.2857142857142856,1.0,7,Indeterminado
00502385220218060096,José Lealci Feitosa Barbosa,1.85,1.0,20,Masculino
00502411620208060169,Dele,2.3076923076923075,1.0,13,Indeterminado
00502456820208060067,Ministério,2.2857142857142856,1.0,7,Indeterminado
00502481620208060134,,2.3333333333333335,2.0,6,Indeterminado
00502610820208060104,Ana Celina Monte Studart Gurgel Carneiro,1.8181818181818181,1.0,11,Feminino
00502619320218060032,,2.3333333333333335,1.0,12,Indeterminado
00502676820208060054,,1.8823529411764706,1.0,17,Indeterminado
00502761720218060144,,3.0,4.0,6,Indeterminado
00502805820208060057,,2.3333333333333335,1.0,9,Indeterminado
00502895420208060175,Gle,1.7894736842105263,1.0,19,Indeterminado
00502895620218060163,,2.0,1.0,6,Indeterminado
00502900220218060176,,2.2,1.0,10,Indeterminado
00502934020208060095,Antonio Fernando Aragão Martins Marques,1.8461538461538463,1.0,39,Masculino
00502947520218060067,,2.2857142857142856,1.0,7,Indeterminado
00502955920218060132,Francisco Batista da Silva,1.4848484848484849,1.0,33,Masculino
00502969220208060095,Francisco Eduardo Girão Braga,2.0,1.0,12,Masculino
00503048220208060123,,2.4375,2.0,16,Indeterminado
00503127920208060181,,2.5,2.5,4,Indeterminado
00503154820208060047,Maria Everalda de Oliveira Timbó,1.836734693877551,1.0,49,Feminino
00503155020218060132,Joa,1.6557377049180328,1.0,61,Indeterminado
00503193220208060097,,2.1875,1.0,16,Indeterminado
00503323520208060128,Francisca Auricelia Nogueira de Oliveira Silva,2.0833333333333335,1.0,36,Feminino
00503337020208060176,Luiz Gonzaga do Monte Ribeiro,2.4,3.0,25,Indeterminado
00503361320208060083,Francisco Uadson Sousa Barbosa,1.9607843137254901,1.0,51,Masculino
00503375920208060095,Francisco Egberto Melo Barbosa,2.1176470588235294,1.0,17,Masculino
00503466420208060113,Dil,2.096774193548387,1.0,31,Indeterminado
00503558220208060159,José Elton Soares da Silva,2.4482758620689653,1.0,29,Masculino
00503574020218060087,,2.4347826086956523,3.0,23,Indeterminado
00503595620218060104,Bruno Leonardo Batista de Medeiros Santos,2.0,1.0,6,Masculino
00503625820208060132,,1.7058823529411764,1.0,17,Indeterminado
00503659020208060074,,2.125,1.0,8,Indeterminado
00503664420208060149,Jackson Fernandes Frutuoso,1.9473684210526316,1.0,38,Masculino
00503738720208060132,Dele,1.8235294117647058,1.0,17,Indeterminado
00503799220208060068,Jose Wendel de Almeida,2.1911764705882355,1.0,68,Masculino
00503815320208060168,Antonio Sigeval Pinheiro Landim,2.0476190476190474,1.0,21,Masculino
00503917320218060100,,2.5714285714285716,3.0,7,Indeterminado
00503944720218060126,,1.9,1.0,10,Indeterminado
00504080620208060081,Den,1.7894736842105263,1.0,19,Indeterminado
00504172220218060181,Rafael Lopes de Morais,1.45,1.0,20,Masculino
00504176520208060081,,2.3333333333333335,1.0,9,Indeterminado
00504183920218060041,Francisco Bruno Grangeiro Pereira,1.8727272727272728,1.0,55,Masculino
